_id,AfterCount,AfterCountStr,AverageScore,GoodRate,CommentCount,cn,product_category,product_detail,product_detail_url,product_id,product_price,product_shop_name,product_shop_url,type
7225363 ,417,400+,5,0.99,640030,jd,辣条,"京东超市	
三只松鼠香辣味豆皮儿时怀旧炸辣片辣条休闲零食特产素食小吃60g/袋
								【三只松鼠·国民吃货节】自营急速达，详情领神券，超值美食满300减210，限5月18日，立即抢购》",//item.jd.com/7225363.html,7225363,￥9.90,三只松鼠京东自营旗舰店,//mall.jd.com/index-1000015268.html?from=pc,食品
7243096 ,1586,1500+,5,0.98,53342,jd,洗衣机,"京品家电	
小天鹅(LittleSwan)10公斤洗烘一体滚筒洗衣机全自动 TD100V62WADS5 纳米银离子高温除菌 小京鱼智能控制
								【价保618，20-24点下单赠100元话费相当于2699】领券到手价2799！赠法兰绒毯！6期免息！纳米银离子高温健康除菌！幻夜黑全面屏！静音变频！更多推荐",//item.jd.com/7243096.html,7243096,"￥3,099.00",小天鹅洗衣机京东自营旗舰店,//mall.jd.com/index-1000002505.html?from=pc,家电
7243108 ,1783,1700+,5,0.99,88300,jd,洗衣机,"小天鹅（LittleSwan）10公斤变频 滚筒洗衣机全自动 TG100V62ADS5 纳米银离子高温除菌幻夜黑全面屏
								【全心全意小天鹅，下单抽热泵干衣机】领券到手价2199，赠法兰绒毯！银离子健康除菌！幻夜黑全面屏！除菌率99.99%，3期免息！更多推荐",//item.jd.com/7243108.html,7243108,"￥2,439.00",小天鹅洗衣机京东自营旗舰店,//mall.jd.com/index-1000002505.html?from=pc,家电
7269559 ,2367,2300+,5,0.98,140512,jd,电视,"【京东智能电视】康佳KKTV U50F1 50英寸AI人工智能 华为海思芯片 36核 4K超高清 教育资源 网络语音液晶电视
								【咨询客服有惊喜】康佳KKTV50吋AI智能电视|超高清窄边框视觉享受|互动投屏|全频音响系统|易学教育新式平台！新品55吋全面屏远场语音电视上市",//item.jd.com/7269559.html,7269559,"￥1,259.00",KKTV电视京东自营旗舰店,//mall.jd.com/index-1000009284.html?from=pc,家电
7281304 ,688,600+,5,0.99,21954,jd,电视,"TCL 75V2 75英寸液晶电视机 4K超高清护眼 全金属 全面屏 人工智能 MEMC防抖 HDR巨幕大屏 教育电视
								【TCL品牌日】18日下单立减200元，不高于3999！咨询客服晒单再送365天延保！私人影院，大客厅专用【查看65英寸新品】",//item.jd.com/7281304.html,7281304,"￥4,199.00",TCL电视京东自营旗舰店,//mall.jd.com/index-1000002816.html?from=pc,家电
7303243 ,1591,1500+,5,0.99,832859,jd,瓜子,"京东超市	
老街口焦糖瓜子500g/袋大颗粒黑糖味葵花籽炒货零食香瓜子 每日坚果
								老街口焦糖瓜子500g/袋大颗粒黑糖味葵花籽炒货零食香瓜子 每日坚果",//item.jd.com/7303243.html,7303243,￥10.90,老街口京东自营旗舰店,//mall.jd.com/index-1000102261.html?from=pc,食品
7303293 ,74,70+,5,0.98,45446,jd,瓜子,"京东超市	
老街口 五香瓜子1斤装 每日坚果 葵花籽休闲零食坚果炒货小吃
								老街口 五香瓜子1斤装 每日坚果 葵花籽休闲零食坚果炒货小吃",//item.jd.com/7303293.html,7303293,￥12.90,老街口京东自营旗舰店,//mall.jd.com/index-1000102261.html?from=pc,食品
7307139 ,867,800+,5,0.94,377028,jd,辣条,"京东超市	
杉城 520情人节礼物 休闲零食大礼包一整箱送女友女生儿童礼盒辣条豆干美食品超市网红好吃的组合装1500g
								杉城 520情人节礼物 休闲零食大礼包一整箱送女友女生儿童礼盒辣条豆干美食品超市网红好吃的组合装1500g",//item.jd.com/7307139.html,7307139,￥79.90,杉城京东自营旗舰店,//mall.jd.com/index-1000102184.html?from=pc,食品
7321529 ,1045,1000+,5,0.99,622050,jd,可乐,"京东超市	
可口可乐 Coca-Cola 零度 Zero 汽水 碳酸饮料 300ml*12瓶 整箱装 可口可乐公司出品
								缤纷水饮，低至5折快来",//item.jd.com/7321529.html,7321529,￥21.90,可口可乐京东自营旗舰店,//mall.jd.com/index-1000014286.html?from=pc,食品
7344084 ,5193,5100+,5,0.99,1103040,jd,音响,"小度智能音箱 百度智能音响 WiFi/蓝牙音箱 、智能机器人、AI生活助手、智能闹钟、迷你音响、早教故事机
								【经典热销爆款，智能生活小当家】多模式智能语音通话、智能语音闹钟、语音备忘、海量音乐资源、千万有声读物",//item.jd.com/7344084.html,7344084,￥109.00,小度京东自营旗舰店,//mall.jd.com/index-1000103387.html?from=pc,电子产品
